"Genotype" "Female" "Male" "Type" "Yield"
"133" "F118" "F118" "F118" "Line" 9.886
"134" "F119" "F119" "F119" "Line" 9.797
"135" "F120" "F120" "F120" "Line" 10.21
"136" "F001M001" "F001" "M001" "Hybrid" 11.145
"137" "F001M002" "F001" "M002" "Hybrid" 11.141
"138" "F001M003" "F001" "M003" "Hybrid" 10.598
"139" "F001M004" "F001" "M004" "Hybrid" 10.948
"140" "F001M005" "F001" "M005" "Hybrid" 10.991
"141" "F001M006" "F001" "M006" "Hybrid" 11.314
"142" "F001M007" "F001" "M007" "Hybrid" 10.948
"143" "F001M008" "F001" "M008" "Hybrid" 10.994
"144" "F001M009" "F001" "M009" "Hybrid" 11.001
"145" "F001M010" "F001" "M010" "Hybrid" 10.746
"146" "F001M011" "F001" "M011" "Hybrid" 10.86
"147" "F001M012" "F001" "M012" "Hybrid" 10.611
"148" "F001M013" "F001" "M013" "Hybrid" 10.6
"149" "F001M014" "F001" "M014" "Hybrid" 11.283
"150" "F001M015" "F001" "M015" "Hybrid" 11.324
"151" "F002M001" "F002" "M001" "Hybrid" 10.484
"152" "F002M002" "F002" "M002" "Hybrid" 10.707
"153" "F002M003" "F002" "M003" "Hybrid" 10.6
"154" "F002M004" "F002" "M004" "Hybrid" 10.304
"155" "F002M005" "F002" "M005" "Hybrid" 10.338
"156" "F002M006" "F002" "M006" "Hybrid" 10.592
"157" "F002M007" "F002" "M007" "Hybrid" 10.466
"158" "F002M008" "F002" "M008" "Hybrid" 10.313
"159" "F002M009" "F002" "M009" "Hybrid" 10.322
"160" "F002M010" "F002" "M010" "Hybrid" 10.447
"161" "F002M011" "F002" "M011" "Hybrid" 10.907
"162" "F002M012" "F002" "M012" "Hybrid" 10.649
"163" "F002M013" "F002" "M013" "Hybrid" 10.786
"164" "F002M014" "F002" "M014" "Hybrid" 10.873
"165" "F002M015" "F002" "M015" "Hybrid" 10.962
"166" "F003M001" "F003" "M001" "Hybrid" 11.308
"167" "F003M002" "F003" "M002" "Hybrid" 11.052
"168" "F003M003" "F003" "M003" "Hybrid" 10.829
"169" "F003M004" "F003" "M004" "Hybrid" 10.536
"170" "F003M005" "F003" "M005" "Hybrid" 10.967
"171" "F003M006" "F003" "M006" "Hybrid" 11.199
"172" "F003M008" "F003" "M008" "Hybrid" 11.14
"173" "F003M009" "F003" "M009" "Hybrid" 11.14
"174" "F003M012" "F003" "M012" "Hybrid" 10.46
"175" "F003M013" "F003" "M013" "Hybrid" 10.975
"176" "F003M014" "F003" "M014" "Hybrid" 11.17
"177" "F003M015" "F003" "M015" "Hybrid" 10.859
"178" "F004M001" "F004" "M001" "Hybrid" 10.549
"179" "F004M002" "F004" "M002" "Hybrid" 10.244
"180" "F004M003" "F004" "M003" "Hybrid" 10.34
"181" "F004M004" "F004" "M004" "Hybrid" 10.25
"182" "F004M005" "F004" "M005" "Hybrid" 10.487
"183" "F004M006" "F004" "M006" "Hybrid" 10.683
"184" "F004M007" "F004" "M007" "Hybrid" 10.68
"185" "F004M008" "F004" "M008" "Hybrid" 10.579
"186" "F004M009" "F004" "M009" "Hybrid" 10.536
"187" "F004M010" "F004" "M010" "Hybrid" 10.448
"188" "F004M012" "F004" "M012" "Hybrid" 10.302
"189" "F004M013" "F004" "M013" "Hybrid" 10.22
"190" "F004M014" "F004" "M014" "Hybrid" 10.494
"191" "F004M015" "F004" "M015" "Hybrid" 10.362
"192" "F005M001" "F005" "M001" "Hybrid" 10.589
"193" "F005M002" "F005" "M002" "Hybrid" 10.316
"194" "F005M003" "F005" "M003" "Hybrid" 10.562
"195" "F005M004" "F005" "M004" "Hybrid" 10.093
"196" "F005M005" "F005" "M005" "Hybrid" 10.614
"197" "F005M006" "F005" "M006" "Hybrid" 10.528
"198" "F005M007" "F005" "M007" "Hybrid" 10.402
"199" "F005M008" "F005" "M008" "Hybrid" 10.22
"200" "F005M009" "F005" "M009" "Hybrid" 10.65
"201" "F005M010" "F005" "M010" "Hybrid" 10.234
"202" "F005M011" "F005" "M011" "Hybrid" 10.153
"203" "F005M012" "F005" "M012" "Hybrid" 10.647
"204" "F005M013" "F005" "M013" "Hybrid" 10.689
"205" "F005M014" "F005" "M014" "Hybrid" 10.378
"206" "F005M015" "F005" "M015" "Hybrid" 10.879
"207" "F006M001" "F006" "M001" "Hybrid" 11.272
"208" "F006M002" "F006" "M002" "Hybrid" 11.164
"209" "F006M003" "F006" "M003" "Hybrid" 10.509
"210" "F006M004" "F006" "M004" "Hybrid" 10.761
"211" "F006M005" "F006" "M005" "Hybrid" 11.181
"212" "F006M006" "F006" "M006" "Hybrid" 11.438
"213" "F006M007" "F006" "M007" "Hybrid" 10.742
"214" "F006M008" "F006" "M008" "Hybrid" 11.082
"215" "F006M009" "F006" "M009" "Hybrid" 11.236
"216" "F006M010" "F006" "M010" "Hybrid" 10.92
"217" "F006M011" "F006" "M011" "Hybrid" 10.931
"218" "F006M012" "F006" "M012" "Hybrid" 10.89
"219" "F006M013" "F006" "M013" "Hybrid" 11.131
"220" "F006M014" "F006" "M014" "Hybrid" 11.615
"221" "F006M015" "F006" "M015" "Hybrid" 11.375
"222" "F007M001" "F007" "M001" "Hybrid" 10.559
"223" "F007M002" "F007" "M002" "Hybrid" 10.564
"224" "F007M003" "F007" "M003" "Hybrid" 10.579
"225" "F007M004" "F007" "M004" "Hybrid" 10.497
"226" "F007M005" "F007" "M005" "Hybrid" 10.67
"227" "F007M006" "F007" "M006" "Hybrid" 10.877
"228" "F007M007" "F007" "M007" "Hybrid" 10.713
"229" "F007M008" "F007" "M008" "Hybrid" 10.461
"230" "F007M010" "F007" "M010" "Hybrid" 11.018
"231" "F007M012" "F007" "M012" "Hybrid" 10.524
"232" "F007M013" "F007" "M013" "Hybrid" 10.966
"233" "F007M014" "F007" "M014" "Hybrid" 11.317
"234" "F007M015" "F007" "M015" "Hybrid" 11.057
"235" "F008M001" "F008" "M001" "Hybrid" 10.591
"236" "F008M002" "F008" "M002" "Hybrid" 10.724
"237" "F008M003" "F008" "M003" "Hybrid" 10.548
"238" "F008M004" "F008" "M004" "Hybrid" 10.477
"239" "F008M005" "F008" "M005" "Hybrid" 10.94
"240" "F008M006" "F008" "M006" "Hybrid" 10.983
"241" "F008M007" "F008" "M007" "Hybrid" 10.55
"242" "F008M008" "F008" "M008" "Hybrid" 10.499
"243" "F008M009" "F008" "M009" "Hybrid" 10.967
"244" "F008M010" "F008" "M010" "Hybrid" 10.481
"245" "F008M011" "F008" "M011" "Hybrid" 10.422
"246" "F008M012" "F008" "M012" "Hybrid" 10.595
"247" "F008M013" "F008" "M013" "Hybrid" 10.937
"248" "F008M014" "F008" "M014" "Hybrid" 11.329
"249" "F008M015" "F008" "M015" "Hybrid" 10.599
"250" "F009M001" "F009" "M001" "Hybrid" 10.691
"251" "F009M002" "F009" "M002" "Hybrid" 10.738
"252" "F009M003" "F009" "M003" "Hybrid" 10.07
"253" "F009M004" "F009" "M004" "Hybrid" 10.318
"254" "F009M005" "F009" "M005" "Hybrid" 10.674
"255" "F009M006" "F009" "M006" "Hybrid" 10.764
"256" "F009M007" "F009" "M007" "Hybrid" 10.882
"257" "F009M008" "F009" "M008" "Hybrid" 10.938
"258" "F009M009" "F009" "M009" "Hybrid" 11.198
"259" "F009M010" "F009" "M010" "Hybrid" 10.631
"260" "F009M011" "F009" "M011" "Hybrid" 10.676
"261" "F009M012" "F009" "M012" "Hybrid" 10.326
"262" "F009M013" "F009" "M013" "Hybrid" 10.325
"263" "F009M014" "F009" "M014" "Hybrid" 10.954
"264" "F009M015" "F009" "M015" "Hybrid" 10.593
"265" "F010M001" "F010" "M001" "Hybrid" 10.606
"266" "F010M002" "F010" "M002" "Hybrid" 10.801
"267" "F010M003" "F010" "M003" "Hybrid" 10.409
"268" "F010M004" "F010" "M004" "Hybrid" 10.323
"269" "F010M005" "F010" "M005" "Hybrid" 10.83
"270" "F010M006" "F010" "M006" "Hybrid" 10.648
"271" "F010M007" "F010" "M007" "Hybrid" 11.243
"272" "F010M008" "F010" "M008" "Hybrid" 10.883
"273" "F010M009" "F010" "M009" "Hybrid" 10.816
"274" "F010M010" "F010" "M010" "Hybrid" 10.658
"275" "F010M011" "F010" "M011" "Hybrid" 10.826
"276" "F010M012" "F010" "M012" "Hybrid" 10.58
"277" "F010M013" "F010" "M013" "Hybrid" 10.451
"278" "F010M014" "F010" "M014" "Hybrid" 11.177
"279" "F010M015" "F010" "M015" "Hybrid" 10.786
"280" "F011M001" "F011" "M001" "Hybrid" 10.999
"281" "F011M003" "F011" "M003" "Hybrid" 10.063
"282" "F011M005" "F011" "M005" "Hybrid" 10.702
"283" "F011M006" "F011" "M006" "Hybrid" 10.913
"284" "F011M007" "F011" "M007" "Hybrid" 10.782
"285" "F011M008" "F011" "M008" "Hybrid" 10.655
"286" "F011M010" "F011" "M010" "Hybrid" 10.705
"287" "F011M012" "F011" "M012" "Hybrid" 10.663
"288" "F011M013" "F011" "M013" "Hybrid" 10.271
"289" "F011M014" "F011" "M014" "Hybrid" 11.062
"290" "F011M015" "F011" "M015" "Hybrid" 10.968
"291" "F012M001" "F012" "M001" "Hybrid" 10.729
"292" "F012M002" "F012" "M002" "Hybrid" 11.011
"293" "F012M003" "F012" "M003" "Hybrid" 11.224
"294" "F012M004" "F012" "M004" "Hybrid" 10.6
"295" "F012M005" "F012" "M005" "Hybrid" 11.756
"296" "F012M006" "F012" "M006" "Hybrid" 11.082
"297" "F012M007" "F012" "M007" "Hybrid" 11.454
"298" "F012M008" "F012" "M008" "Hybrid" 11.422
"299" "F012M009" "F012" "M009" "Hybrid" 11.325
"300" "F012M010" "F012" "M010" "Hybrid" 10.977
"301" "F012M011" "F012" "M011" "Hybrid" 10.961
"302" "F012M012" "F012" "M012" "Hybrid" 10.504
"303" "F012M013" "F012" "M013" "Hybrid" 11.407
"304" "F012M014" "F012" "M014" "Hybrid" 11.537
"305" "F012M015" "F012" "M015" "Hybrid" 10.942
"306" "F013M001" "F013" "M001" "Hybrid" 10.688
"307" "F013M002" "F013" "M002" "Hybrid" 10.683
"308" "F013M003" "F013" "M003" "Hybrid" 10.12
"309" "F013M004" "F013" "M004" "Hybrid" 10.521
"310" "F013M005" "F013" "M005" "Hybrid" 10.852
"311" "F013M006" "F013" "M006" "Hybrid" 11.115
"312" "F013M007" "F013" "M007" "Hybrid" 10.869
"313" "F013M008" "F013" "M008" "Hybrid" 10.82
"314" "F013M009" "F013" "M009" "Hybrid" 10.832
"315" "F013M010" "F013" "M010" "Hybrid" 10.673
"316" "F013M011" "F013" "M011" "Hybrid" 10.963
"317" "F013M012" "F013" "M012" "Hybrid" 10.305
"318" "F013M013" "F013" "M013" "Hybrid" 10.131
"319" "F013M014" "F013" "M014" "Hybrid" 11.061
"320" "F013M015" "F013" "M015" "Hybrid" 10.932
"321" "F014M001" "F014" "M001" "Hybrid" 10.916
"322" "F014M002" "F014" "M002" "Hybrid" 10.937
"323" "F014M003" "F014" "M003" "Hybrid" 10.445
"324" "F014M004" "F014" "M004" "Hybrid" 10.45
"325" "F014M005" "F014" "M005" "Hybrid" 11.077
