"Genotype" "Female" "Male" "Type" "Yield"
"496" "F027M014" "F027" "M014" "Hybrid" 10.414
"497" "F027M015" "F027" "M015" "Hybrid" 10.091
"498" "F028M001" "F028" "M001" "Hybrid" 10.481
"499" "F028M002" "F028" "M002" "Hybrid" 10.461
"500" "F028M003" "F028" "M003" "Hybrid" 10.487
"501" "F028M004" "F028" "M004" "Hybrid" 10.2
"502" "F028M005" "F028" "M005" "Hybrid" 10.435
"503" "F028M006" "F028" "M006" "Hybrid" 10.869
"504" "F028M007" "F028" "M007" "Hybrid" 10.825
"505" "F028M008" "F028" "M008" "Hybrid" 10.293
"506" "F028M009" "F028" "M009" "Hybrid" 10.881
"507" "F028M010" "F028" "M010" "Hybrid" 10.286
"508" "F028M011" "F028" "M011" "Hybrid" 11.042
"509" "F028M012" "F028" "M012" "Hybrid" 10.214
"510" "F028M013" "F028" "M013" "Hybrid" 10.698
"511" "F028M014" "F028" "M014" "Hybrid" 10.737
"512" "F028M015" "F028" "M015" "Hybrid" 10.545
"513" "F029M001" "F029" "M001" "Hybrid" 10.367
"514" "F029M002" "F029" "M002" "Hybrid" 10.399
"515" "F029M003" "F029" "M003" "Hybrid" 10.264
"516" "F029M004" "F029" "M004" "Hybrid" 10.405
"517" "F029M005" "F029" "M005" "Hybrid" 10.629
"518" "F029M006" "F029" "M006" "Hybrid" 10.633
"519" "F029M007" "F029" "M007" "Hybrid" 10.741
"520" "F029M008" "F029" "M008" "Hybrid" 10.578
"521" "F029M009" "F029" "M009" "Hybrid" 10.99
"522" "F029M010" "F029" "M010" "Hybrid" 10.469
"523" "F029M011" "F029" "M011" "Hybrid" 10.565
"524" "F029M012" "F029" "M012" "Hybrid" 10.538
"525" "F029M013" "F029" "M013" "Hybrid" 10.713
"526" "F029M014" "F029" "M014" "Hybrid" 10.816
"527" "F029M015" "F029" "M015" "Hybrid" 10.782
"528" "F030M001" "F030" "M001" "Hybrid" 10.562
"529" "F030M002" "F030" "M002" "Hybrid" 10.546
"530" "F030M003" "F030" "M003" "Hybrid" 10.414
"531" "F030M004" "F030" "M004" "Hybrid" 10.363
"532" "F030M005" "F030" "M005" "Hybrid" 10.961
"533" "F030M006" "F030" "M006" "Hybrid" 11.238
"534" "F030M007" "F030" "M007" "Hybrid" 10.492
"535" "F030M009" "F030" "M009" "Hybrid" 11.055
"536" "F030M010" "F030" "M010" "Hybrid" 10.629
"537" "F030M011" "F030" "M011" "Hybrid" 10.587
"538" "F030M013" "F030" "M013" "Hybrid" 10.376
"539" "F030M014" "F030" "M014" "Hybrid" 10.938
"540" "F030M015" "F030" "M015" "Hybrid" 10.473
"541" "F031M001" "F031" "M001" "Hybrid" 10.624
"542" "F031M002" "F031" "M002" "Hybrid" 10.357
"543" "F031M003" "F031" "M003" "Hybrid" 10.393
"544" "F031M004" "F031" "M004" "Hybrid" 10.283
"545" "F031M005" "F031" "M005" "Hybrid" 10.516
"546" "F031M006" "F031" "M006" "Hybrid" 10.806
"547" "F031M007" "F031" "M007" "Hybrid" 10.52
"548" "F031M008" "F031" "M008" "Hybrid" 10.263
"549" "F031M009" "F031" "M009" "Hybrid" 10.879
"550" "F031M010" "F031" "M010" "Hybrid" 10.384
"551" "F031M011" "F031" "M011" "Hybrid" 9.966
"552" "F031M012" "F031" "M012" "Hybrid" 10.239
"553" "F031M013" "F031" "M013" "Hybrid" 10.399
"554" "F031M014" "F031" "M014" "Hybrid" 10.407
"555" "F031M015" "F031" "M015" "Hybrid" 10.63
"556" "F032M001" "F032" "M001" "Hybrid" 10.97
"557" "F032M003" "F032" "M003" "Hybrid" 11.121
"558" "F032M005" "F032" "M005" "Hybrid" 10.981
"559" "F032M006" "F032" "M006" "Hybrid" 10.795
"560" "F032M007" "F032" "M007" "Hybrid" 10.856
"561" "F032M008" "F032" "M008" "Hybrid" 10.901
"562" "F032M009" "F032" "M009" "Hybrid" 11.027
"563" "F032M010" "F032" "M010" "Hybrid" 10.927
"564" "F032M012" "F032" "M012" "Hybrid" 10.474
"565" "F032M013" "F032" "M013" "Hybrid" 11.1
"566" "F032M014" "F032" "M014" "Hybrid" 10.694
"567" "F032M015" "F032" "M015" "Hybrid" 10.936
"568" "F033M001" "F033" "M001" "Hybrid" 10.265
"569" "F033M002" "F033" "M002" "Hybrid" 10.583
"570" "F033M003" "F033" "M003" "Hybrid" 10.823
"571" "F033M005" "F033" "M005" "Hybrid" 11.012
"572" "F033M006" "F033" "M006" "Hybrid" 10.538
"573" "F033M007" "F033" "M007" "Hybrid" 10.207
"574" "F033M008" "F033" "M008" "Hybrid" 10.597
"575" "F033M009" "F033" "M009" "Hybrid" 10.589
"576" "F033M010" "F033" "M010" "Hybrid" 10.553
"577" "F033M012" "F033" "M012" "Hybrid" 10.497
"578" "F033M013" "F033" "M013" "Hybrid" 10.616
"579" "F033M014" "F033" "M014" "Hybrid" 10.626
"580" "F033M015" "F033" "M015" "Hybrid" 10.502
"581" "F034M001" "F034" "M001" "Hybrid" 10.557
"582" "F034M002" "F034" "M002" "Hybrid" 10.589
"583" "F034M003" "F034" "M003" "Hybrid" 10.522
"584" "F034M004" "F034" "M004" "Hybrid" 10.411
"585" "F034M005" "F034" "M005" "Hybrid" 10.784
"586" "F034M006" "F034" "M006" "Hybrid" 10.941
"587" "F034M007" "F034" "M007" "Hybrid" 10.503
"588" "F034M008" "F034" "M008" "Hybrid" 10.664
"589" "F034M009" "F034" "M009" "Hybrid" 10.938
"590" "F034M010" "F034" "M010" "Hybrid" 10.808
"591" "F034M011" "F034" "M011" "Hybrid" 10.484
"592" "F034M012" "F034" "M012" "Hybrid" 10.6
"593" "F034M013" "F034" "M013" "Hybrid" 10.881
"594" "F034M014" "F034" "M014" "Hybrid" 10.895
"595" "F034M015" "F034" "M015" "Hybrid" 10.872
"596" "F035M001" "F035" "M001" "Hybrid" 10.325
"597" "F035M002" "F035" "M002" "Hybrid" 10.772
"598" "F035M003" "F035" "M003" "Hybrid" 10.681
"599" "F035M004" "F035" "M004" "Hybrid" 10.238
"600" "F035M005" "F035" "M005" "Hybrid" 10.775
"601" "F035M006" "F035" "M006" "Hybrid" 10.791
"602" "F035M007" "F035" "M007" "Hybrid" 10.506
"603" "F035M008" "F035" "M008" "Hybrid" 10.54
"604" "F035M009" "F035" "M009" "Hybrid" 10.763
"605" "F035M010" "F035" "M010" "Hybrid" 10.541
"606" "F035M011" "F035" "M011" "Hybrid" 10.55
"607" "F035M012" "F035" "M012" "Hybrid" 10.34
"608" "F035M013" "F035" "M013" "Hybrid" 10.497
"609" "F035M014" "F035" "M014" "Hybrid" 10.431
"610" "F035M015" "F035" "M015" "Hybrid" 10.552
"611" "F036M001" "F036" "M001" "Hybrid" 10.417
"612" "F036M002" "F036" "M002" "Hybrid" 10.569
"613" "F036M003" "F036" "M003" "Hybrid" 9.76
"614" "F036M004" "F036" "M004" "Hybrid" 10.437
"615" "F036M005" "F036" "M005" "Hybrid" 10.898
"616" "F036M006" "F036" "M006" "Hybrid" 11.017
"617" "F036M007" "F036" "M007" "Hybrid" 10.608
"618" "F036M008" "F036" "M008" "Hybrid" 10.575
"619" "F036M009" "F036" "M009" "Hybrid" 10.52
"620" "F036M010" "F036" "M010" "Hybrid" 10.455
"621" "F036M011" "F036" "M011" "Hybrid" 10.402
"622" "F036M012" "F036" "M012" "Hybrid" 10.241
"623" "F036M013" "F036" "M013" "Hybrid" 10.275
"624" "F036M014" "F036" "M014" "Hybrid" 10.916
"625" "F036M015" "F036" "M015" "Hybrid" 10.825
"626" "F037M001" "F037" "M001" "Hybrid" 10.699
"627" "F037M002" "F037" "M002" "Hybrid" 10.874
"628" "F037M003" "F037" "M003" "Hybrid" 10.862
"629" "F037M004" "F037" "M004" "Hybrid" 10.259
"630" "F037M005" "F037" "M005" "Hybrid" 10.718
"631" "F037M006" "F037" "M006" "Hybrid" 11.239
"632" "F037M007" "F037" "M007" "Hybrid" 10.632
"633" "F037M008" "F037" "M008" "Hybrid" 10.677
"634" "F037M009" "F037" "M009" "Hybrid" 11.033
"635" "F037M010" "F037" "M010" "Hybrid" 10.858
"636" "F037M011" "F037" "M011" "Hybrid" 10.882
"637" "F037M012" "F037" "M012" "Hybrid" 10.585
"638" "F037M013" "F037" "M013" "Hybrid" 11.227
"639" "F037M014" "F037" "M014" "Hybrid" 10.831
"640" "F037M015" "F037" "M015" "Hybrid" 10.887
"641" "F038M001" "F038" "M001" "Hybrid" 10.557
"642" "F038M002" "F038" "M002" "Hybrid" 10.273
"643" "F038M003" "F038" "M003" "Hybrid" 10.3
"644" "F038M004" "F038" "M004" "Hybrid" 10.314
"645" "F038M005" "F038" "M005" "Hybrid" 10.416
"646" "F038M006" "F038" "M006" "Hybrid" 11.037
"647" "F038M007" "F038" "M007" "Hybrid" 10.407
"648" "F038M008" "F038" "M008" "Hybrid" 10.429
"649" "F038M009" "F038" "M009" "Hybrid" 10.501
"650" "F038M010" "F038" "M010" "Hybrid" 10.265
"651" "F038M011" "F038" "M011" "Hybrid" 10.33
"652" "F038M012" "F038" "M012" "Hybrid" 10.297
"653" "F038M013" "F038" "M013" "Hybrid" 10.75
"654" "F038M014" "F038" "M014" "Hybrid" 10.707
"655" "F038M015" "F038" "M015" "Hybrid" 10.671
"656" "F039M001" "F039" "M001" "Hybrid" 10.851
"657" "F039M002" "F039" "M002" "Hybrid" 10.738
"658" "F039M003" "F039" "M003" "Hybrid" 10.478
"659" "F039M004" "F039" "M004" "Hybrid" 10.593
"660" "F039M005" "F039" "M005" "Hybrid" 10.814
"661" "F039M006" "F039" "M006" "Hybrid" 11.324
"662" "F039M007" "F039" "M007" "Hybrid" 11.035
"663" "F039M008" "F039" "M008" "Hybrid" 10.824
"664" "F039M009" "F039" "M009" "Hybrid" 11.517
"665" "F039M010" "F039" "M010" "Hybrid" 10.794
"666" "F039M011" "F039" "M011" "Hybrid" 10.988
"667" "F039M012" "F039" "M012" "Hybrid" 10.728
"668" "F039M013" "F039" "M013" "Hybrid" 10.356
"669" "F039M014" "F039" "M014" "Hybrid" 11.159
"670" "F039M015" "F039" "M015" "Hybrid" 10.759
"671" "F040M001" "F040" "M001" "Hybrid" 10.34
"672" "F040M002" "F040" "M002" "Hybrid" 10.242
"673" "F040M003" "F040" "M003" "Hybrid" 10.075
"674" "F040M004" "F040" "M004" "Hybrid" 10.097
"675" "F040M005" "F040" "M005" "Hybrid" 10.747
"676" "F040M006" "F040" "M006" "Hybrid" 10.75
"677" "F040M007" "F040" "M007" "Hybrid" 10.395
"678" "F040M008" "F040" "M008" "Hybrid" 10.419
"679" "F040M009" "F040" "M009" "Hybrid" 10.574
"680" "F040M010" "F040" "M010" "Hybrid" 10.282
"681" "F040M011" "F040" "M011" "Hybrid" 10.324
"682" "F040M012" "F040" "M012" "Hybrid" 10.383
"683" "F040M013" "F040" "M013" "Hybrid" 10.143
"684" "F040M014" "F040" "M014" "Hybrid" 10.414
"685" "F040M015" "F040" "M015" "Hybrid" 10.514
"686" "F041M001" "F041" "M001" "Hybrid" 10.348
"687" "F041M002" "F041" "M002" "Hybrid" 11.086
"688" "F041M003" "F041" "M003" "Hybrid" 10.356
"689" "F041M004" "F041" "M004" "Hybrid" 10.465
"690" "F041M005" "F041" "M005" "Hybrid" 11.243
"691" "F041M006" "F041" "M006" "Hybrid" 10.965
"692" "F041M007" "F041" "M007" "Hybrid" 11.052
"693" "F041M008" "F041" "M008" "Hybrid" 11.008
"694" "F041M009" "F041" "M009" "Hybrid" 10.976
"695" "F041M010" "F041" "M010" "Hybrid" 10.716
"696" "F041M011" "F041" "M011" "Hybrid" 11.052
"697" "F041M012" "F041" "M012" "Hybrid" 10.568
"698" "F041M013" "F041" "M013" "Hybrid" 11.23
"699" "F041M014" "F041" "M014" "Hybrid" 10.884
"700" "F041M015" "F041" "M015" "Hybrid" 11.045
"701" "F042M001" "F042" "M001" "Hybrid" 10.753
"702" "F042M002" "F042" "M002" "Hybrid" 10.678
"703" "F042M003" "F042" "M003" "Hybrid" 10.078
"704" "F042M004" "F042" "M004" "Hybrid" 10.516
"705" "F042M005" "F042" "M005" "Hybrid" 11.052
"706" "F042M006" "F042" "M006" "Hybrid" 10.867
"707" "F042M007" "F042" "M007" "Hybrid" 10.702
"708" "F042M008" "F042" "M008" "Hybrid" 11.095
"709" "F042M009" "F042" "M009" "Hybrid" 11.469
"710" "F042M010" "F042" "M010" "Hybrid" 10.911
"711" "F042M011" "F042" "M011" "Hybrid" 10.436
"712" "F042M012" "F042" "M012" "Hybrid" 10.677
"713" "F042M013" "F042" "M013" "Hybrid" 10.226
"714" "F042M014" "F042" "M014" "Hybrid" 10.874
"715" "F042M015" "F042" "M015" "Hybrid" 10.993
"716" "F043M001" "F043" "M001" "Hybrid" 10.45
"717" "F043M002" "F043" "M002" "Hybrid" 10.12
"718" "F043M003" "F043" "M003" "Hybrid" 10.205
"719" "F043M004" "F043" "M004" "Hybrid" 10.623
"720" "F043M005" "F043" "M005" "Hybrid" 10.77
"721" "F043M006" "F043" "M006" "Hybrid" 10.803
"722" "F043M007" "F043" "M007" "Hybrid" 10.765
"723" "F043M008" "F043" "M008" "Hybrid" 10.589
"724" "F043M009" "F043" "M009" "Hybrid" 10.759
"725" "F043M010" "F043" "M010" "Hybrid" 10.603
"726" "F043M011" "F043" "M011" "Hybrid" 10.523
"727" "F043M012" "F043" "M012" "Hybrid" 10.057
"728" "F043M013" "F043" "M013" "Hybrid" 10.419
"729" "F043M014" "F043" "M014" "Hybrid" 10.661
"730" "F043M015" "F043" "M015" "Hybrid" 10.577
"731" "F044M001" "F044" "M001" "Hybrid" 10.682
"732" "F044M002" "F044" "M002" "Hybrid" 10.865
"733" "F044M003" "F044" "M003" "Hybrid" 10.383
"734" "F044M004" "F044" "M004" "Hybrid" 10.438
"735" "F044M005" "F044" "M005" "Hybrid" 11.232
"736" "F044M006" "F044" "M006" "Hybrid" 11.185
"737" "F044M007" "F044" "M007" "Hybrid" 11.092
"738" "F044M008" "F044" "M008" "Hybrid" 11.089
"739" "F044M009" "F044" "M009" "Hybrid" 10.961
"740" "F044M010" "F044" "M010" "Hybrid" 11.114
"741" "F044M011" "F044" "M011" "Hybrid" 11.076
"742" "F044M012" "F044" "M012" "Hybrid" 10.442
"743" "F044M013" "F044" "M013" "Hybrid" 10.711
"744" "F044M014" "F044" "M014" "Hybrid" 11.319
"745" "F044M015" "F044" "M015" "Hybrid" 10.989
"746" "F045M001" "F045" "M001" "Hybrid" 10.51
"747" "F045M002" "F045" "M002" "Hybrid" 10.393
"748" "F045M003" "F045" "M003" "Hybrid" 10.52
"749" "F045M004" "F045" "M004" "Hybrid" 10.579
"750" "F045M005" "F045" "M005" "Hybrid" 11.113
"751" "F045M006" "F045" "M006" "Hybrid" 10.619
"752" "F045M007" "F045" "M007" "Hybrid" 10.579
"753" "F045M008" "F045" "M008" "Hybrid" 10.592
"754" "F045M009" "F045" "M009" "Hybrid" 10.815
"755" "F045M010" "F045" "M010" "Hybrid" 10.378
"756" "F045M011" "F045" "M011" "Hybrid" 10.301
"757" "F045M012" "F045" "M012" "Hybrid" 10.398
"758" "F045M013" "F045" "M013" "Hybrid" 10.797
"759" "F045M014" "F045" "M014" "Hybrid" 10.981
"760" "F045M015" "F045" "M015" "Hybrid" 10.449
"761" "F046M002" "F046" "M002" "Hybrid" 10.917
"762" "F046M003" "F046" "M003" "Hybrid" 9.874
"763" "F046M004" "F046" "M004" "Hybrid" 10.658
"764" "F046M005" "F046" "M005" "Hybrid" 11.112
"765" "F046M006" "F046" "M006" "Hybrid" 11.081
"766" "F046M007" "F046" "M007" "Hybrid" 10.991
"767" "F046M008" "F046" "M008" "Hybrid" 10.69
"768" "F046M009" "F046" "M009" "Hybrid" 11.232
"769" "F046M010" "F046" "M010" "Hybrid" 10.877
"770" "F046M011" "F046" "M011" "Hybrid" 10.832
"771" "F046M012" "F046" "M012" "Hybrid" 10.729
"772" "F046M013" "F046" "M013" "Hybrid" 10.381
"773" "F046M014" "F046" "M014" "Hybrid" 10.983
"774" "F046M015" "F046" "M015" "Hybrid" 10.861
"775" "F047M002" "F047" "M002" "Hybrid" 10.818
"776" "F047M003" "F047" "M003" "Hybrid" 9.806
"777" "F047M004" "F047" "M004" "Hybrid" 10.649
"778" "F047M005" "F047" "M005" "Hybrid" 10.887
"779" "F047M006" "F047" "M006" "Hybrid" 11.234
"780" "F047M007" "F047" "M007" "Hybrid" 10.854
"781" "F047M008" "F047" "M008" "Hybrid" 11.015
"782" "F047M009" "F047" "M009" "Hybrid" 11.03
"783" "F047M010" "F047" "M010" "Hybrid" 10.786
"784" "F047M011" "F047" "M011" "Hybrid" 10.797
"785" "F047M012" "F047" "M012" "Hybrid" 10.453
"786" "F047M013" "F047" "M013" "Hybrid" 10.289
"787" "F047M014" "F047" "M014" "Hybrid" 10.97
"788" "F047M015" "F047" "M015" "Hybrid" 11.152
"789" "F048M002" "F048" "M002" "Hybrid" 9.919
"790" "F048M003" "F048" "M003" "Hybrid" 9.839
"791" "F048M004" "F048" "M004" "Hybrid" 10.071
"792" "F048M005" "F048" "M005" "Hybrid" 10.48
"793" "F048M006" "F048" "M006" "Hybrid" 10.869
"794" "F048M007" "F048" "M007" "Hybrid" 10.286
"795" "F048M008" "F048" "M008" "Hybrid" 10.421
"796" "F048M009" "F048" "M009" "Hybrid" 10.585
"797" "F048M010" "F048" "M010" "Hybrid" 10.156
"798" "F048M011" "F048" "M011" "Hybrid" 10.201
"799" "F048M012" "F048" "M012" "Hybrid" 10.072
"800" "F048M013" "F048" "M013" "Hybrid" 9.699
"801" "F048M014" "F048" "M014" "Hybrid" 10.413
"802" "F048M015" "F048" "M015" "Hybrid" 10.668
"803" "F049M002" "F049" "M002" "Hybrid" 10.448
"804" "F049M003" "F049" "M003" "Hybrid" 10.302
"805" "F049M004" "F049" "M004" "Hybrid" 10.144
"806" "F049M005" "F049" "M005" "Hybrid" 10.83
"807" "F049M006" "F049" "M006" "Hybrid" 10.888
"808" "F049M007" "F049" "M007" "Hybrid" 10.851
"809" "F049M008" "F049" "M008" "Hybrid" 10.69
"810" "F049M009" "F049" "M009" "Hybrid" 11.045
"811" "F049M010" "F049" "M010" "Hybrid" 10.67
"812" "F049M011" "F049" "M011" "Hybrid" 10.417
"813" "F049M012" "F049" "M012" "Hybrid" 10.276
"814" "F049M013" "F049" "M013" "Hybrid" 10.956
"815" "F049M014" "F049" "M014" "Hybrid" 11.135
"816" "F049M015" "F049" "M015" "Hybrid" 10.547
"817" "F050M002" "F050" "M002" "Hybrid" 10.595
"818" "F050M003" "F050" "M003" "Hybrid" 9.504
"819" "F050M004" "F050" "M004" "Hybrid" 10.341
"820" "F050M005" "F050" "M005" "Hybrid" 11.073
"821" "F050M006" "F050" "M006" "Hybrid" 10.925
"822" "F050M007" "F050" "M007" "Hybrid" 10.835
"823" "F050M008" "F050" "M008" "Hybrid" 10.703
"824" "F050M009" "F050" "M009" "Hybrid" 10.955
"825" "F050M010" "F050" "M010" "Hybrid" 10.51
"826" "F050M011" "F050" "M011" "Hybrid" 10.824
"827" "F050M013" "F050" "M013" "Hybrid" 10.966
"828" "F050M014" "F050" "M014" "Hybrid" 11.079
"829" "F050M015" "F050" "M015" "Hybrid" 10.793
"830" "F051M001" "F051" "M001" "Hybrid" 10.421
"831" "F051M002" "F051" "M002" "Hybrid" 10.401
"832" "F051M003" "F051" "M003" "Hybrid" 9.899
"833" "F051M004" "F051" "M004" "Hybrid" 10.173
"834" "F051M005" "F051" "M005" "Hybrid" 10.829
"835" "F051M006" "F051" "M006" "Hybrid" 10.41
"836" "F051M008" "F051" "M008" "Hybrid" 10.455
"837" "F051M009" "F051" "M009" "Hybrid" 10.843
"838" "F051M011" "F051" "M011" "Hybrid" 10.618
"839" "F051M012" "F051" "M012" "Hybrid" 10.343
"840" "F051M013" "F051" "M013" "Hybrid" 9.765
"841" "F051M014" "F051" "M014" "Hybrid" 10.589
"842" "F051M015" "F051" "M015" "Hybrid" 10.343
"843" "F052M001" "F052" "M001" "Hybrid" 10.811
"844" "F052M002" "F052" "M002" "Hybrid" 10.509
"845" "F052M003" "F052" "M003" "Hybrid" 10.17
"846" "F052M004" "F052" "M004" "Hybrid" 10.174
"847" "F052M005" "F052" "M005" "Hybrid" 10.527
"848" "F052M006" "F052" "M006" "Hybrid" 11.135
"849" "F052M008" "F052" "M008" "Hybrid" 10.595
"850" "F052M009" "F052" "M009" "Hybrid" 10.854
"851" "F052M011" "F052" "M011" "Hybrid" 10.614
"852" "F052M012" "F052" "M012" "Hybrid" 10.509
"853" "F052M013" "F052" "M013" "Hybrid" 9.97
"854" "F052M014" "F052" "M014" "Hybrid" 10.809
"855" "F052M015" "F052" "M015" "Hybrid" 10.678
"856" "F053M001" "F053" "M001" "Hybrid" 10.364
"857" "F053M002" "F053" "M002" "Hybrid" 10.384
"858" "F053M003" "F053" "M003" "Hybrid" 9.874
"859" "F053M004" "F053" "M004" "Hybrid" 10.322
"860" "F053M005" "F053" "M005" "Hybrid" 10.621
"861" "F053M006" "F053" "M006" "Hybrid" 10.666
"862" "F053M008" "F053" "M008" "Hybrid" 10.673
"863" "F053M009" "F053" "M009" "Hybrid" 10.837
"864" "F053M011" "F053" "M011" "Hybrid" 10.243
"865" "F053M012" "F053" "M012" "Hybrid" 10.155
"866" "F053M013" "F053" "M013" "Hybrid" 9.936
"867" "F053M014" "F053" "M014" "Hybrid" 10.635
"868" "F053M015" "F053" "M015" "Hybrid" 10.452
"869" "F054M001" "F054" "M001" "Hybrid" 10.145
"870" "F054M002" "F054" "M002" "Hybrid" 10.167
"871" "F054M003" "F054" "M003" "Hybrid" 10.182
"872" "F054M004" "F054" "M004" "Hybrid" 10.018
"873" "F054M005" "F054" "M005" "Hybrid" 10.546
"874" "F054M006" "F054" "M006" "Hybrid" 10.898
"875" "F054M008" "F054" "M008" "Hybrid" 10.403
"876" "F054M009" "F054" "M009" "Hybrid" 10.795
"877" "F054M011" "F054" "M011" "Hybrid" 10.075
"878" "F054M012" "F054" "M012" "Hybrid" 10.214
"879" "F054M013" "F054" "M013" "Hybrid" 10.462
"880" "F054M014" "F054" "M014" "Hybrid" 10.413
"881" "F054M015" "F054" "M015" "Hybrid" 10.415
"882" "F055M001" "F055" "M001" "Hybrid" 10.107
"883" "F055M002" "F055" "M002" "Hybrid" 9.968
"884" "F055M003" "F055" "M003" "Hybrid" 9.793
"885" "F055M004" "F055" "M004" "Hybrid" 10.178
"886" "F055M005" "F055" "M005" "Hybrid" 10.163
"887" "F055M006" "F055" "M006" "Hybrid" 10.655
"888" "F055M008" "F055" "M008" "Hybrid" 9.993
"889" "F055M009" "F055" "M009" "Hybrid" 10.512
"890" "F055M011" "F055" "M011" "Hybrid" 10.181
"891" "F055M012" "F055" "M012" "Hybrid" 10.306
"892" "F055M013" "F055" "M013" "Hybrid" 9.843
"893" "F055M014" "F055" "M014" "Hybrid" 10.597
"894" "F055M015" "F055" "M015" "Hybrid" 10.258
"895" "F056M001" "F056" "M001" "Hybrid" 10.5
"896" "F056M002" "F056" "M002" "Hybrid" 10.608
"897" "F056M003" "F056" "M003" "Hybrid" 10.405
"898" "F056M004" "F056" "M004" "Hybrid" 10.391
"899" "F056M005" "F056" "M005" "Hybrid" 10.809
"900" "F056M006" "F056" "M006" "Hybrid" 10.788
"901" "F056M007" "F056" "M007" "Hybrid" 10.512
"902" "F056M008" "F056" "M008" "Hybrid" 10.564
"903" "F056M009" "F056" "M009" "Hybrid" 10.453
"904" "F056M010" "F056" "M010" "Hybrid" 10.474
"905" "F056M011" "F056" "M011" "Hybrid" 10.712
"906" "F056M013" "F056" "M013" "Hybrid" 10.596
"907" "F057M001" "F057" "M001" "Hybrid" 10.697
"908" "F057M002" "F057" "M002" "Hybrid" 10.788
"909" "F057M003" "F057" "M003" "Hybrid" 10.549
"910" "F057M004" "F057" "M004" "Hybrid" 10.235
"911" "F057M005" "F057" "M005" "Hybrid" 10.887
"912" "F057M006" "F057" "M006" "Hybrid" 10.808
"913" "F057M007" "F057" "M007" "Hybrid" 10.51
"914" "F057M008" "F057" "M008" "Hybrid" 10.49
"915" "F057M009" "F057" "M009" "Hybrid" 11.17
"916" "F057M010" "F057" "M010" "Hybrid" 10.979
"917" "F057M011" "F057" "M011" "Hybrid" 10.403
"918" "F057M013" "F057" "M013" "Hybrid" 10.668
"919" "F057M014" "F057" "M014" "Hybrid" 10.561
"920" "F057M015" "F057" "M015" "Hybrid" 10.61
"921" "F058M001" "F058" "M001" "Hybrid" 10.646
"922" "F058M002" "F058" "M002" "Hybrid" 10.513
"923" "F058M003" "F058" "M003" "Hybrid" 10.553
"924" "F058M004" "F058" "M004" "Hybrid" 10.306
"925" "F058M005" "F058" "M005" "Hybrid" 10.637
"926" "F058M006" "F058" "M006" "Hybrid" 11.008
"927" "F058M007" "F058" "M007" "Hybrid" 10.687
"928" "F058M008" "F058" "M008" "Hybrid" 10.892
"929" "F058M009" "F058" "M009" "Hybrid" 11.101
"930" "F058M010" "F058" "M010" "Hybrid" 10.502
"931" "F058M011" "F058" "M011" "Hybrid" 10.709
"932" "F058M012" "F058" "M012" "Hybrid" 10.579
"933" "F058M013" "F058" "M013" "Hybrid" 10.583
"934" "F058M014" "F058" "M014" "Hybrid" 10.294
"935" "F058M015" "F058" "M015" "Hybrid" 10.604
"936" "F059M001" "F059" "M001" "Hybrid" 10.362
"937" "F059M002" "F059" "M002" "Hybrid" 10.827
"938" "F059M003" "F059" "M003" "Hybrid" 10.141
"939" "F059M004" "F059" "M004" "Hybrid" 10.618
"940" "F059M005" "F059" "M005" "Hybrid" 10.939
"941" "F059M006" "F059" "M006" "Hybrid" 10.967
"942" "F059M007" "F059" "M007" "Hybrid" 10.804
"943" "F059M008" "F059" "M008" "Hybrid" 10.618
"944" "F059M009" "F059" "M009" "Hybrid" 11.041
"945" "F059M010" "F059" "M010" "Hybrid" 10.431
"946" "F059M011" "F059" "M011" "Hybrid" 10.698
"947" "F059M012" "F059" "M012" "Hybrid" 10.72
"948" "F059M013" "F059" "M013" "Hybrid" 10.642
"949" "F059M014" "F059" "M014" "Hybrid" 10.994
"950" "F059M015" "F059" "M015" "Hybrid" 11.356
"951" "F060M001" "F060" "M001" "Hybrid" 10.722
"952" "F060M002" "F060" "M002" "Hybrid" 10.919
"953" "F060M003" "F060" "M003" "Hybrid" 10.81
"954" "F060M004" "F060" "M004" "Hybrid" 10.572
"955" "F060M005" "F060" "M005" "Hybrid" 11.178
"956" "F060M006" "F060" "M006" "Hybrid" 11.324
"957" "F060M007" "F060" "M007" "Hybrid" 10.888
"958" "F060M008" "F060" "M008" "Hybrid" 10.985
"959" "F060M009" "F060" "M009" "Hybrid" 11.444
"960" "F060M010" "F060" "M010" "Hybrid" 11.041
"961" "F060M011" "F060" "M011" "Hybrid" 10.748
"962" "F060M012" "F060" "M012" "Hybrid" 11.206
"963" "F060M013" "F060" "M013" "Hybrid" 11.13
"964" "F060M014" "F060" "M014" "Hybrid" 11.203
"965" "F060M015" "F060" "M015" "Hybrid" 11.042
"966" "F061M001" "F061" "M001" "Hybrid" 10.983
"967" "F061M002" "F061" "M002" "Hybrid" 10.745
"968" "F061M003" "F061" "M003" "Hybrid" 10.785
"969" "F061M004" "F061" "M004" "Hybrid" 10.433
"970" "F061M005" "F061" "M005" "Hybrid" 10.888
"971" "F061M006" "F061" "M006" "Hybrid" 11.021
"972" "F061M007" "F061" "M007" "Hybrid" 10.945
"973" "F061M008" "F061" "M008" "Hybrid" 10.959
"974" "F061M009" "F061" "M009" "Hybrid" 11.142
"975" "F061M010" "F061" "M010" "Hybrid" 10.999
"976" "F061M011" "F061" "M011" "Hybrid" 10.664
