"Blues" "Female" "Male" "Geno" "Hybrid" "Lines" "Exp.I" "Exp.II" "Exp.III" "Exp.IV" "Exp.V"
"86" 7.855148563 "apache" "tri19860" "apache&&tri19860" 1 0 0 0 0 0 1
"87" 8.314893394 "apache" "tri19897" "apache&&tri19897" 1 0 0 0 0 0 1
"88" 9.09524553 "apache" "tri21107iso" "apache&&tri21107iso" 1 0 0 0 0 0 1
"89" 8.747391834 "apache" "tri21119iso" "apache&&tri21119iso" 1 0 0 0 0 0 1
"90" 9.125443249 "apache" "tri21139iso" "apache&&tri21139iso" 1 0 0 0 0 0 1
"91" 8.950879191 "apache" "tri21265iso" "apache&&tri21265iso" 1 0 0 0 0 0 1
"92" 8.413908796 "apache" "tri22371" "apache&&tri22371" 1 0 0 0 0 0 1
"93" 7.354608426 "apache" "tri22417" "apache&&tri22417" 1 0 0 0 0 0 1
"94" 8.345637464 "apache" "tri22527" "apache&&tri22527" 1 0 0 0 0 0 1
"95" 9.028960202 "apache" "tri22851iso" "apache&&tri22851iso" 1 0 0 0 0 0 1
"96" 8.903676368 "apache" "tri23191iso" "apache&&tri23191iso" 1 0 0 0 0 0 1
"97" 8.637519794 "apache" "tri23234" "apache&&tri23234" 1 0 0 0 0 0 1
"99" 8.607729709 "apache" "tri23308" "apache&&tri23308" 1 0 0 0 0 0 1
"100" 8.376380911 "apache" "tri23428" "apache&&tri23428" 1 0 0 0 0 0 1
"101" 7.572752965 "apache" "tri23438" "apache&&tri23438" 1 0 0 0 0 0 1
"102" 8.955087855 "apache" "tri23467" "apache&&tri23467" 1 0 0 0 0 0 1
"103" 8.780519331 "apache" "tri23890" "apache&&tri23890" 1 0 0 0 0 0 1
"104" 8.577139192 "apache" "tri23924" "apache&&tri23924" 1 0 0 0 0 0 1
"105" 8.644970569 "apache" "tri24607iso" "apache&&tri24607iso" 1 0 0 0 0 0 1
"106" 9.2840346 "apache" "tri25141iso" "apache&&tri25141iso" 1 0 0 0 0 0 1
"107" 8.212375003 "apache" "tri29467" "apache&&tri29467" 1 0 0 0 0 0 1
"108" 9.283121837 "apache" "tri322iso" "apache&&tri322iso" 1 0 0 0 0 0 1
"109" 8.91429663 "apache" "tri6386iso" "apache&&tri6386iso" 1 0 0 0 0 0 1
"110" 9.389789604 "apache" "tri64iso" "apache&&tri64iso" 1 0 0 0 0 0 1
"112" 8.903512553 "apache" "tri6761iso" "apache&&tri6761iso" 1 0 0 0 0 0 1
"113" 8.714480461 "apache" "tri6903iso" "apache&&tri6903iso" 1 0 0 0 0 0 1
"114" 7.463083403 "apache" "tri6926" "apache&&tri6926" 1 0 0 0 0 0 1
"115" 7.897598963 "apache" "tri7018" "apache&&tri7018" 1 0 0 0 0 0 1
"116" 9.163957125 "apache" "tri7169iso" "apache&&tri7169iso" 1 0 0 0 0 0 1
"117" 9.127939146 "apache" "tri7372iso" "apache&&tri7372iso" 1 0 0 0 0 0 1
"118" 8.333354713 "apache" "tri7707" "apache&&tri7707" 1 0 0 0 0 0 1
"119" 7.4939035 "apache" "tri7861" "apache&&tri7861" 1 0 0 0 0 0 1
"120" 8.600340195 "apache" "tri7874" "apache&&tri7874" 1 0 0 0 0 0 1
"121" 8.733108867 "apache" "tri7963iso" "apache&&tri7963iso" 1 0 0 0 0 0 1
"123" 8.291727179 "apache" "tri8070" "apache&&tri8070" 1 0 0 0 0 0 1
"124" 8.890485247 "apache" "tri8084iso" "apache&&tri8084iso" 1 0 0 0 0 0 1
