"Blues" "Female" "Male" "Geno" "Hybrid" "Lines" "Exp.I" "Exp.II" "Exp.III" "Exp.IV" "Exp.V"
"6475" 10.46455775 "tobak" "zm041" "tobak&&zm041" 1 0 0 1 0 0 0
"6476" 9.159766856 "top" "agriss" "top&&agriss" 1 0 0 0 0 0 1
"6477" 8.524135728 "top" "chambord" "top&&chambord" 1 0 0 0 0 0 1
"6478" 8.725710589 "top" "cleo" "top&&cleo" 1 0 0 0 0 0 1
"6479" 9.229152908 "top" "hard" "top&&hard" 1 0 0 0 0 0 1
"6480" 9.128831413 "top" "hela" "top&&hela" 1 0 0 0 0 0 1
"6481" 8.659127903 "top" "lentia" "top&&lentia" 1 0 0 0 0 0 1
"6482" 9.174903481 "top" "nordsaatmix" "top&&nordsaatmix" 1 0 0 0 0 0 1
"6483" 8.606024246 "top" "top" "top" 0 1 0 0 0 0 1
"6484" 8.091759501 "top" "tri10371iso" "top&&tri10371iso" 1 0 0 0 0 0 1
"6485" 9.114131792 "top" "tri10398iso" "top&&tri10398iso" 1 0 0 0 0 0 1
"6486" 8.867164603 "top" "tri11259iso" "top&&tri11259iso" 1 0 0 0 0 0 1
"6487" 9.47832178 "top" "tri11299iso" "top&&tri11299iso" 1 0 0 0 0 0 1
"6488" 9.47138654 "top" "tri11836iso" "top&&tri11836iso" 1 0 0 0 0 0 1
"6489" 8.745118501 "top" "tri12510iso" "top&&tri12510iso" 1 0 0 0 0 0 1
"6490" 8.852850018 "top" "tri13028iso" "top&&tri13028iso" 1 0 0 0 0 0 1
"6491" 9.06266182 "top" "tri13220" "top&&tri13220" 1 0 0 0 0 0 1
"6492" 9.30444438 "top" "tri13251iso" "top&&tri13251iso" 1 0 0 0 0 0 1
"6493" 9.398674456 "top" "tri13272iso" "top&&tri13272iso" 1 0 0 0 0 0 1
"6494" 9.207007247 "top" "tri13428iso" "top&&tri13428iso" 1 0 0 0 0 0 1
"6495" 8.581760095 "top" "tri13590iso" "top&&tri13590iso" 1 0 0 0 0 0 1
"6496" 8.864241922 "top" "tri14728iso" "top&&tri14728iso" 1 0 0 0 0 0 1
"6497" 9.013243978 "top" "tri16399iso" "top&&tri16399iso" 1 0 0 0 0 0 1
"6498" 8.888743423 "top" "tri19667iso" "top&&tri19667iso" 1 0 0 0 0 0 1
"6500" 8.89726697 "top" "tri21163iso" "top&&tri21163iso" 1 0 0 0 0 0 1
"6501" 8.92583815 "top" "tri21265iso" "top&&tri21265iso" 1 0 0 0 0 0 1
"6502" 9.410204725 "top" "tri23191iso" "top&&tri23191iso" 1 0 0 0 0 0 1
"6503" 9.07387636 "top" "tri24607iso" "top&&tri24607iso" 1 0 0 0 0 0 1
"6504" 8.771817631 "top" "tri25141iso" "top&&tri25141iso" 1 0 0 0 0 0 1
"6505" 9.18310349 "top" "tri322iso" "top&&tri322iso" 1 0 0 0 0 0 1
"6506" 8.647248566 "top" "tri5024iso" "top&&tri5024iso" 1 0 0 0 0 0 1
"6507" 8.929998604 "top" "tri6386iso" "top&&tri6386iso" 1 0 0 0 0 0 1
"6508" 8.858814805 "top" "tri6761iso" "top&&tri6761iso" 1 0 0 0 0 0 1
"6509" 8.959284204 "top" "tri6903iso" "top&&tri6903iso" 1 0 0 0 0 0 1
"6510" 9.014437778 "top" "tri7169iso" "top&&tri7169iso" 1 0 0 0 0 0 1
"6511" 9.011669408 "top" "tri7373iso" "top&&tri7373iso" 1 0 0 0 0 0 1
"6512" 8.640225341 "top" "tri7963iso" "top&&tri7963iso" 1 0 0 0 0 0 1
"6513" 8.857959884 "top" "tri8036iso" "top&&tri8036iso" 1 0 0 0 0 0 1
"6514" 8.901080134 "top" "tri8084iso" "top&&tri8084iso" 1 0 0 0 0 0 1
"6515" 8.781379049 "top" "tri8453iso" "top&&tri8453iso" 1 0 0 0 0 0 1
"6516" 8.751787512 "top" "tri9523iso" "top&&tri9523iso" 1 0 0 0 0 0 1
"6517" 8.875232592 "top" "tri9843iso" "top&&tri9843iso" 1 0 0 0 0 0 1
"6518" 9.272083684 "top" "zaprozoskaja5" "top&&zaprozoskaja5" 1 0 0 0 0 0 1
"6519" 8.909830616 "top" "zf022" "top&&zf022" 1 0 0 0 0 0 1
"6520" 8.818284419 "tri10162iso" "tri10162iso" "tri10162iso" 0 1 0 0 0 0 1
"6521" 8.80889944 "tri10177iso" "tri10177iso" "tri10177iso" 0 1 0 0 0 0 1
"6522" 8.937105146 "tri10182" "malemixearly" "tri10182&&malemixearly" 1 0 0 0 0 0 1
"6523" 8.0881578 "tri10182" "tri10182" "tri10182" 0 1 0 0 0 0 1
"6524" 7.615622888 "tri10202" "tri10202" "tri10202" 0 1 0 0 0 0 1
"6525" 6.200632578 "tri10208" "tri10208" "tri10208" 0 1 0 0 0 0 1
"6526" 7.086047022 "tri1020" "tri1020" "tri1020" 0 1 0 0 0 0 1
"6527" 7.65147605 "tri10231" "tri10231" "tri10231" 0 1 0 0 0 0 1
"6528" 7.181593846 "tri10246" "tri10246" "tri10246" 0 1 0 0 0 0 1
"6529" 7.31781863 "tri10371iso" "tri10371iso" "tri10371iso" 0 1 0 0 0 0 1
"6530" 7.203700086 "tri10384" "tri10384" "tri10384" 0 1 0 0 0 0 1
"6531" 7.469153857 "tri10398iso" "tri10398iso" "tri10398iso" 0 1 0 0 0 0 1
"6532" 7.748771195 "tri10401" "tri10401" "tri10401" 0 1 0 0 0 0 1
"6533" 6.778859393 "tri1040" "tri1040" "tri1040" 0 1 0 0 0 0 1
"6534" 7.643871345 "tri10458iso" "tri10458iso" "tri10458iso" 0 1 0 0 0 0 1
"6535" 7.825507681 "tri1067" "tri1067" "tri1067" 0 1 0 0 0 0 1
"6536" 7.830720349 "tri10746iso" "tri10746iso" "tri10746iso" 0 1 0 0 0 0 1
"6537" 7.530909259 "tri10878iso" "tri10878iso" "tri10878iso" 0 1 0 0 0 0 1
"6538" 5.166783628 "tri10924" "tri10924" "tri10924" 0 1 0 0 0 0 1
"6539" 8.02852912 "tri11127iso" "tri11127iso" "tri11127iso" 0 1 0 0 0 0 1
"6540" 5.834689551 "tri11141" "tri11141" "tri11141" 0 1 0 0 0 0 1
"6541" 8.264933051 "tri11210iso" "tri11210iso" "tri11210iso" 0 1 0 0 0 0 1
"6542" 7.338835904 "tri11221" "tri11221" "tri11221" 0 1 0 0 0 0 1
"6543" 7.884215215 "tri11252" "tri11252" "tri11252" 0 1 0 0 0 0 1
"6544" 7.947206218 "tri11259iso" "tri11259iso" "tri11259iso" 0 1 0 0 0 0 1
"6545" 9.231099828 "tri11261" "malemixearly" "tri11261&&malemixearly" 1 0 0 0 0 0 1
"6546" 8.504329021 "tri11261" "tri11261" "tri11261" 0 1 0 0 0 0 1
"6547" 6.857947091 "tri11275iso" "tri11275iso" "tri11275iso" 0 1 0 0 0 0 1
"6548" 8.738402359 "tri11281iso" "tri11281iso" "tri11281iso" 0 1 0 0 0 0 1
"6549" 8.363653095 "tri11299iso" "tri11299iso" "tri11299iso" 0 1 0 0 0 0 1
"6550" 9.466395069 "tri11301" "malemixlate" "tri11301&&malemixlate" 1 0 0 0 0 0 1
"6551" 8.58839934 "tri11301" "tri11301" "tri11301" 0 1 0 0 0 0 1
"6552" 7.202578162 "tri11339" "tri11339" "tri11339" 0 1 0 0 0 0 1
"6553" 6.51255407 "tri1142iso" "tri1142iso" "tri1142iso" 0 1 0 0 0 0 1
"6554" 8.038123245 "tri11451iso" "tri11451iso" "tri11451iso" 0 1 0 0 0 0 1
"6555" 7.903665255 "tri11580iso" "tri11580iso" "tri11580iso" 0 1 0 0 0 0 1
"6556" 7.547020545 "tri11638iso" "tri11638iso" "tri11638iso" 0 1 0 0 0 0 1
"6557" 7.705592004 "tri11799iso" "tri11799iso" "tri11799iso" 0 1 0 0 0 0 1
"6558" 7.821183297 "tri11836iso" "tri11836iso" "tri11836iso" 0 1 0 0 0 0 1
"6559" 8.046212818 "tri11957iso" "tri11957iso" "tri11957iso" 0 1 0 0 0 0 1
"6560" 8.054048632 "tri11964" "tri11964" "tri11964" 0 1 0 0 0 0 1
"6561" 7.927473332 "tri11972" "malemixearly" "tri11972&&malemixearly" 1 0 0 0 0 0 1
"6562" 8.003314704 "tri11972" "tri11972" "tri11972" 0 1 0 0 0 0 1
"6563" 7.750262093 "tri12004iso" "tri12004iso" "tri12004iso" 0 1 0 0 0 0 1
"6564" 7.446435118 "tri12010" "tri12010" "tri12010" 0 1 0 0 0 0 1
"6565" 8.372415483 "tri12047iso" "tri12047iso" "tri12047iso" 0 1 0 0 0 0 1
"6566" 8.934506191 "tri12393iso" "tri12393iso" "tri12393iso" 0 1 0 0 0 0 1
"6567" 8.704237621 "tri12510iso" "tri12510iso" "tri12510iso" 0 1 0 0 0 0 1
"6568" 6.409133245 "tri12804" "tri12804" "tri12804" 0 1 0 0 0 0 1
"6569" 5.63990821 "tri12897" "tri12897" "tri12897" 0 1 0 0 0 0 1
"6570" 8.937558279 "tri12918" "malemixearly" "tri12918&&malemixearly" 1 0 0 0 0 0 1
"6571" 8.032978965 "tri12918" "tri12918" "tri12918" 0 1 0 0 0 0 1
"6572" 9.219343013 "tri12963" "malemixearly" "tri12963&&malemixearly" 1 0 0 0 0 0 1
"6573" 8.754898511 "tri12963" "tri12963" "tri12963" 0 1 0 0 0 0 1
"6574" 6.582294855 "tri12965" "tri12965" "tri12965" 0 1 0 0 0 0 1
"6575" 7.003854631 "tri13024" "tri13024" "tri13024" 0 1 0 0 0 0 1
"6576" 8.184350234 "tri13028iso" "tri13028iso" "tri13028iso" 0 1 0 0 0 0 1
"6577" 7.517570681 "tri13212" "tri13212" "tri13212" 0 1 0 0 0 0 1
"6578" 8.44295644 "tri13220" "tri13220" "tri13220" 0 1 0 0 0 0 1
"6579" 8.145029719 "tri13251iso" "tri13251iso" "tri13251iso" 0 1 0 0 0 0 1
"6580" 8.438870204 "tri13272iso" "tri13272iso" "tri13272iso" 0 1 0 0 0 0 1
"6581" 7.926458202 "tri13305" "tri13305" "tri13305" 0 1 0 0 0 0 1
"6582" 8.196150624 "tri13344" "tri13344" "tri13344" 0 1 0 0 0 0 1
"6583" 7.510462442 "tri1340" "tri1340" "tri1340" 0 1 0 0 0 0 1
"6584" 7.976310465 "tri13428iso" "tri13428iso" "tri13428iso" 0 1 0 0 0 0 1
"6585" 9.036574446 "tri13582" "malemixearly" "tri13582&&malemixearly" 1 0 0 0 0 0 1
"6586" 8.69766219 "tri13582" "tri13582" "tri13582" 0 1 0 0 0 0 1
"6587" 8.10128386 "tri13590iso" "tri13590iso" "tri13590iso" 0 1 0 0 0 0 1
"6588" 6.144181767 "tri13672" "tri13672" "tri13672" 0 1 0 0 0 0 1
"6589" 6.140920934 "tri1389" "tri1389" "tri1389" 0 1 0 0 0 0 1
"6590" 7.535338152 "tri14280" "tri14280" "tri14280" 0 1 0 0 0 0 1
"6591" 6.527090381 "tri14300" "tri14300" "tri14300" 0 1 0 0 0 0 1
"6592" 9.11809161 "tri14727iso" "tri14727iso" "tri14727iso" 0 1 0 0 0 0 1
"6593" 8.774544144 "tri14728iso" "tri14728iso" "tri14728iso" 0 1 0 0 0 0 1
"6594" 7.440867898 "tri14868" "tri14868" "tri14868" 0 1 0 0 0 0 1
"6595" 6.687473912 "tri14884" "tri14884" "tri14884" 0 1 0 0 0 0 1
"6596" 6.052466277 "tri14887" "tri14887" "tri14887" 0 1 0 0 0 0 1
"6597" 6.792404953 "tri14905" "tri14905" "tri14905" 0 1 0 0 0 0 1
"6598" 6.170946888 "tri14913" "tri14913" "tri14913" 0 1 0 0 0 0 1
"6599" 6.370274823 "tri14934" "tri14934" "tri14934" 0 1 0 0 0 0 1
"6600" 5.704166673 "tri15098" "tri15098" "tri15098" 0 1 0 0 0 0 1
"6601" 5.441471528 "tri15161" "tri15161" "tri15161" 0 1 0 0 0 0 1
"6602" 7.59364525 "tri1601" "tri1601" "tri1601" 0 1 0 0 0 0 1
"6603" 7.159641726 "tri1635" "tri1635" "tri1635" 0 1 0 0 0 0 1
"6604" 8.727557146 "tri16399iso" "tri16399iso" "tri16399iso" 0 1 0 0 0 0 1
"6605" 6.212286628 "tri16529" "tri16529" "tri16529" 0 1 0 0 0 0 1
"6606" 8.648762492 "tri16644" "malemixearly" "tri16644&&malemixearly" 1 0 0 0 0 0 1
"6607" 8.494942128 "tri16644" "tri16644" "tri16644" 0 1 0 0 0 0 1
"6608" 6.863131936 "tri16698" "tri16698" "tri16698" 0 1 0 0 0 0 1
"6609" 7.161799935 "tri16828iso" "tri16828iso" "tri16828iso" 0 1 0 0 0 0 1
"6610" 5.07808759 "tri16935" "tri16935" "tri16935" 0 1 0 0 0 0 1
"6611" 8.919689713 "tri16948" "tri16948" "tri16948" 0 1 0 0 0 0 1
"6612" 6.953230297 "tri17266" "tri17266" "tri17266" 0 1 0 0 0 0 1
"6613" 7.588382833 "tri17856iso" "tri17856iso" "tri17856iso" 0 1 0 0 0 0 1
"6614" 6.385473002 "tri18027" "tri18027" "tri18027" 0 1 0 0 0 0 1
"6615" 8.487596479 "tri19119iso" "tri19119iso" "tri19119iso" 0 1 0 0 0 0 1
"6616" 8.179511355 "tri19594" "tri19594" "tri19594" 0 1 0 0 0 0 1
"6617" 5.379360439 "tri19607" "tri19607" "tri19607" 0 1 0 0 0 0 1
"6618" 7.004361919 "tri19667iso" "tri19667iso" "tri19667iso" 0 1 0 0 0 0 1
"6619" 7.02425117 "tri19818" "tri19818" "tri19818" 0 1 0 0 0 0 1
"6620" 7.725994564 "tri19851iso" "tri19851iso" "tri19851iso" 0 1 0 0 0 0 1
"6621" 8.168435699 "tri20997" "tri20997" "tri20997" 0 1 0 0 0 0 1
"6622" 7.275120786 "tri21059" "tri21059" "tri21059" 0 1 0 0 0 0 1
"6623" 8.353182281 "tri21107iso" "tri21107iso" "tri21107iso" 0 1 0 0 0 0 1
"6624" 7.81269216 "tri21119iso" "tri21119iso" "tri21119iso" 0 1 0 0 0 0 1
"6625" 6.275182342 "tri21125" "tri21125" "tri21125" 0 1 0 0 0 0 1
"6626" 8.87065682 "tri21139iso" "tri21139iso" "tri21139iso" 0 1 0 0 0 0 1
"6627" 8.106534498 "tri21163iso" "tri21163iso" "tri21163iso" 0 1 0 0 0 0 1
"6628" 7.195997748 "tri21165" "tri21165" "tri21165" 0 1 0 0 0 0 1
"6629" 6.867114083 "tri21181" "tri21181" "tri21181" 0 1 0 0 0 0 1
"6630" 7.765694276 "tri21210iso" "tri21210iso" "tri21210iso" 0 1 0 0 0 0 1
"6631" 8.368914839 "tri21245iso" "tri21245iso" "tri21245iso" 0 1 0 0 0 0 1
"6632" 8.269234721 "tri21265iso" "tri21265iso" "tri21265iso" 0 1 0 0 0 0 1
"6633" 7.942717107 "tri21284iso" "tri21284iso" "tri21284iso" 0 1 0 0 0 0 1
"6634" 7.67839265 "tri21287iso" "tri21287iso" "tri21287iso" 0 1 0 0 0 0 1
"6635" 8.411507405 "tri21302iso" "tri21302iso" "tri21302iso" 0 1 0 0 0 0 1
"6636" 6.09069456 "tri21330" "tri21330" "tri21330" 0 1 0 0 0 0 1
"6637" 6.660334542 "tri21888" "tri21888" "tri21888" 0 1 0 0 0 0 1
"6638" 7.972229231 "tri22519iso" "tri22519iso" "tri22519iso" 0 1 0 0 0 0 1
"6639" 6.089647607 "tri22800" "tri22800" "tri22800" 0 1 0 0 0 0 1
"6640" 8.479268295 "tri22851iso" "tri22851iso" "tri22851iso" 0 1 0 0 0 0 1
"6641" 6.627996647 "tri2287" "tri2287" "tri2287" 0 1 0 0 0 0 1
"6642" 8.752730702 "tri229iso" "tri229iso" "tri229iso" 0 1 0 0 0 0 1
"6643" 9.220077476 "tri23126" "malemixearly" "tri23126&&malemixearly" 1 0 0 0 0 0 1
"6644" 8.509066135 "tri23126" "tri23126" "tri23126" 0 1 0 0 0 0 1
"6645" 9.153811081 "tri23191iso" "tri23191iso" "tri23191iso" 0 1 0 0 0 0 1
"6646" 9.277617379 "tri23279" "malemixearly" "tri23279&&malemixearly" 1 0 0 0 0 0 1
"6647" 8.627275907 "tri23279" "tri23279" "tri23279" 0 1 0 0 0 0 1
"6648" 8.149704659 "tri23293iso" "tri23293iso" "tri23293iso" 0 1 0 0 0 0 1
"6649" 5.973454487 "tri2342" "tri2342" "tri2342" 0 1 0 0 0 0 1
"6650" 8.497497652 "tri23671" "tri23671" "tri23671" 0 1 0 0 0 0 1
"6651" 6.447547985 "tri24071" "tri24071" "tri24071" 0 1 0 0 0 0 1
"6652" 6.313700602 "tri2411" "tri2411" "tri2411" 0 1 0 0 0 0 1
"6653" 5.905542763 "tri24352" "tri24352" "tri24352" 0 1 0 0 0 0 1
"6654" 5.647401299 "tri243" "tri243" "tri243" 0 1 0 0 0 0 1
"6655" 8.047993453 "tri24607iso" "tri24607iso" "tri24607iso" 0 1 0 0 0 0 1
"6656" 7.881082319 "tri25141iso" "tri25141iso" "tri25141iso" 0 1 0 0 0 0 1
"6657" 6.823220377 "tri25292" "tri25292" "tri25292" 0 1 0 0 0 0 1
"6658" 8.201931302 "tri252iso" "tri252iso" "tri252iso" 0 1 0 0 0 0 1
"6659" 8.854774333 "tri25755iso" "tri25755iso" "tri25755iso" 0 1 0 0 0 0 1
"6660" 6.459042789 "tri25909" "tri25909" "tri25909" 0 1 0 0 0 0 1
"6661" 7.330858665 "tri279iso" "tri279iso" "tri279iso" 0 1 0 0 0 0 1
"6662" 7.672757036 "tri28909" "tri28909" "tri28909" 0 1 0 0 0 0 1
"6663" 6.64523582 "tri316" "tri316" "tri316" 0 1 0 0 0 0 1
"6664" 5.646012169 "tri319" "tri319" "tri319" 0 1 0 0 0 0 1
"6665" 7.332095479 "tri322iso" "tri322iso" "tri322iso" 0 1 0 0 0 0 1
"6666" 6.279882634 "tri344" "tri344" "tri344" 0 1 0 0 0 0 1
"6667" 5.465000799 "tri351" "tri351" "tri351" 0 1 0 0 0 0 1
"6668" 6.963069291 "tri355" "tri355" "tri355" 0 1 0 0 0 0 1
"6669" 7.228611138 "tri3792" "tri3792" "tri3792" 0 1 0 0 0 0 1
"6670" 6.965786638 "tri4221" "tri4221" "tri4221" 0 1 0 0 0 0 1
"6671" 7.244365017 "tri4268" "tri4268" "tri4268" 0 1 0 0 0 0 1
"6672" 5.097759188 "tri4526" "tri4526" "tri4526" 0 1 0 0 0 0 1
"6673" 7.870394683 "tri4589" "tri4589" "tri4589" 0 1 0 0 0 0 1
"6674" 7.668386632 "tri4742" "tri4742" "tri4742" 0 1 0 0 0 0 1
"6675" 6.735966758 "tri4763" "tri4763" "tri4763" 0 1 0 0 0 0 1
"6676" 6.589809711 "tri4822" "tri4822" "tri4822" 0 1 0 0 0 0 1
"6677" 7.828826184 "tri5024iso" "tri5024iso" "tri5024iso" 0 1 0 0 0 0 1
"6678" 7.106343769 "tri5082" "tri5082" "tri5082" 0 1 0 0 0 0 1
"6679" 6.505153206 "tri5085" "tri5085" "tri5085" 0 1 0 0 0 0 1
"6680" 8.493205342 "tri5090iso" "tri5090iso" "tri5090iso" 0 1 0 0 0 0 1
"6681" 6.949992972 "tri5180" "tri5180" "tri5180" 0 1 0 0 0 0 1
"6682" 6.797548765 "tri5191" "tri5191" "tri5191" 0 1 0 0 0 0 1
"6683" 6.854567099 "tri5288" "tri5288" "tri5288" 0 1 0 0 0 0 1
"6684" 8.003622815 "tri6368iso" "tri6368iso" "tri6368iso" 0 1 0 0 0 0 1
"6685" 7.369126924 "tri6372iso" "tri6372iso" "tri6372iso" 0 1 0 0 0 0 1
"6686" 7.524659108 "tri6386iso" "tri6386iso" "tri6386iso" 0 1 0 0 0 0 1
"6687" 7.627894628 "tri64iso" "tri64iso" "tri64iso" 0 1 0 0 0 0 1
"6688" 8.810945995 "tri6747" "malemixearly" "tri6747&&malemixearly" 1 0 0 0 0 0 1
"6689" 7.598242402 "tri6747" "tri6747" "tri6747" 0 1 0 0 0 0 1
"6690" 8.487145899 "tri6761iso" "tri6761iso" "tri6761iso" 0 1 0 0 0 0 1
"6691" 7.558036899 "tri6811" "tri6811" "tri6811" 0 1 0 0 0 0 1
"6692" 6.321169227 "tri6816" "tri6816" "tri6816" 0 1 0 0 0 0 1
"6693" 7.206101642 "tri6876" "tri6876" "tri6876" 0 1 0 0 0 0 1
"6694" 5.793978286 "tri6889" "tri6889" "tri6889" 0 1 0 0 0 0 1
"6695" 6.883612391 "tri6903iso" "tri6903iso" "tri6903iso" 0 1 0 0 0 0 1
"6696" 6.804058508 "tri6926" "tri6926" "tri6926" 0 1 0 0 0 0 1
"6697" 7.486662548 "tri6933" "tri6933" "tri6933" 0 1 0 0 0 0 1
"6698" 9.025866775 "tri7169iso" "tri7169iso" "tri7169iso" 0 1 0 0 0 0 1
"6699" 7.462657077 "tri7372iso" "tri7372iso" "tri7372iso" 0 1 0 0 0 0 1
"6700" 8.272892092 "tri7373iso" "tri7373iso" "tri7373iso" 0 1 0 0 0 0 1
"6701" 5.809913251 "tri7399" "tri7399" "tri7399" 0 1 0 0 0 0 1
"6702" 7.464010667 "tri7711" "tri7711" "tri7711" 0 1 0 0 0 0 1
"6703" 5.695833694 "tri7861" "tri7861" "tri7861" 0 1 0 0 0 0 1
"6704" 7.887987373 "tri7887" "tri7887" "tri7887" 0 1 0 0 0 0 1
"6705" 7.528420962 "tri7963iso" "tri7963iso" "tri7963iso" 0 1 0 0 0 0 1
"6706" 8.523297612 "tri8036iso" "tri8036iso" "tri8036iso" 0 1 0 0 0 0 1
"6707" 7.710784126 "tri8038" "tri8038" "tri8038" 0 1 0 0 0 0 1
"6708" 6.175159924 "tri8070" "tri8070" "tri8070" 0 1 0 0 0 0 1
"6709" 7.801907552 "tri8084iso" "tri8084iso" "tri8084iso" 0 1 0 0 0 0 1
"6710" 5.370894209 "tri8097" "tri8097" "tri8097" 0 1 0 0 0 0 1
"6711" 7.582255854 "tri8130" "tri8130" "tri8130" 0 1 0 0 0 0 1
"6712" 6.515654772 "tri8134" "tri8134" "tri8134" 0 1 0 0 0 0 1
"6713" 7.675198714 "tri8137" "tri8137" "tri8137" 0 1 0 0 0 0 1
"6714" 7.07968027 "tri8280" "tri8280" "tri8280" 0 1 0 0 0 0 1
"6715" 8.488425454 "tri83iso" "tri83iso" "tri83iso" 0 1 0 0 0 0 1
"6716" 7.711126594 "tri8453iso" "tri8453iso" "tri8453iso" 0 1 0 0 0 0 1
"6717" 8.475194765 "tri9326" "tri13344" "tri9326&&tri13344" 1 0 0 0 0 0 1
"6718" 7.932885607 "tri9326" "tri9326" "tri9326" 0 1 0 0 0 0 1
"6719" 9.207393004 "tri9364" "malemixearly" "tri9364&&malemixearly" 1 0 0 0 0 0 1
"6720" 8.594956152 "tri9364" "tri9364" "tri9364" 0 1 0 0 0 0 1
"6721" 7.116727274 "tri9389" "tri9389" "tri9389" 0 1 0 0 0 0 1
"6722" 7.780982341 "tri9405iso" "tri9405iso" "tri9405iso" 0 1 0 0 0 0 1
"6723" 7.296307545 "tri9410" "tri9410" "tri9410" 0 1 0 0 0 0 1
"6724" 7.201721959 "tri9519iso" "tri9519iso" "tri9519iso" 0 1 0 0 0 0 1
"6725" 7.906419927 "tri9523iso" "tri9523iso" "tri9523iso" 0 1 0 0 0 0 1
"6726" 5.205920904 "tri9569" "tri9569" "tri9569" 0 1 0 0 0 0 1
"6727" 8.838018509 "tri9585" "malemixearly" "tri9585&&malemixearly" 1 0 0 0 0 0 1
"6728" 8.389335796 "tri9585" "tri9585" "tri9585" 0 1 0 0 0 0 1
"6729" 8.505306332 "tri9602iso" "tri9602iso" "tri9602iso" 0 1 0 0 0 0 1
"6730" 7.514049807 "tri9664" "tri9664" "tri9664" 0 1 0 0 0 0 1
"6731" 8.085986844 "tri9670" "tri9670" "tri9670" 0 1 0 0 0 0 1
"6732" 7.076103624 "tri9798" "tri9798" "tri9798" 0 1 0 0 0 0 1
"6733" 7.317120111 "tri9800" "tri9800" "tri9800" 0 1 0 0 0 0 1
"6734" 7.763547292 "tri9843iso" "tri9843iso" "tri9843iso" 0 1 0 0 0 0 1
"6735" 8.383887355 "tri9873iso" "tri9873iso" "tri9873iso" 0 1 0 0 0 0 1
"6736" 9.077681476 "tri9899" "malemixearly" "tri9899&&malemixearly" 1 0 0 0 0 0 1
"6737" 8.328765354 "tri9899" "tri9899" "tri9899" 0 1 0 0 0 0 1
"6738" 5.41131545 "tri9968" "tri9968" "tri9968" 0 1 0 0 0 0 1
"6739" 8.575294538 "tri998iso" "tri998iso" "tri998iso" 0 1 0 0 0 0 1
"6740" 7.864957279 "tuerkis" "b44" "tuerkis&&b44" 1 0 0 0 0 0 1
"6741" 9.213795495 "tuerkis" "malemixlate" "tuerkis&&malemixlate" 1 0 0 0 0 0 1
"6743" 8.78946828 "tuerkis" "tri1389" "tuerkis&&tri1389" 1 0 0 0 0 0 1
"6744" 8.717556647 "tuerkis" "tri3792" "tuerkis&&tri3792" 1 0 0 0 0 0 1
"6745" 8.558234548 "tuerkis" "tri5288" "tuerkis&&tri5288" 1 0 0 0 0 0 1
"6746" 8.84745259 "tuerkis" "tuerkis" "tuerkis" 0 1 1 0 0 0 1
"6747" 9.295576014 "turandot" "malemixearly" "turandot&&malemixearly" 1 0 0 0 0 0 1
"6748" 9.493267952 "turandot" "turandot" "turandot" 0 1 0 0 0 0 1
"6749" 9.160855209 "viginia" "malemixearly" "viginia&&malemixearly" 1 0 0 0 0 0 1
"6750" 8.736992196 "viginia" "viginia" "viginia" 0 1 0 0 0 0 1
"6751" 9.436424052 "volnyska" "malemixearly" "volnyska&&malemixearly" 1 0 0 0 0 0 1
"6752" 8.828067492 "volnyska" "volnyska" "volnyska" 0 1 0 0 0 0 1
"7639" 9.656687187 "xantippe" "xantippe" "xantippe" 0 1 0 0 0 0 1
"7640" 8.899860776 "zaprozoskaja5" "malemixearly" "zaprozoskaja5&&malemixearly" 1 0 0 0 0 0 1
"7641" 8.658360002 "zaprozoskaja5" "zaprozoskaja5" "zaprozoskaja5" 0 1 0 0 0 0 1
"7645" 9.914335776 "zf001" "zf001" "zf001" 0 1 0 1 0 0 0
"7646" 10.14766766 "zf001" "zm001" "zf001&&zm001" 1 0 0 1 0 0 0
"7647" 10.22805856 "zf001" "zm005" "zf001&&zm005" 1 0 0 1 0 0 0
"7648" 9.133073999 "zf002" "zf002" "zf002" 0 1 0 1 0 0 0
"7649" 10.25335137 "zf002" "zf040" "zf002&&zf040" 1 0 0 1 0 0 0
"7650" 9.795550186 "zf002" "zm003" "zf002&&zm003" 1 0 0 1 0 0 0
"7651" 10.10144509 "zf002" "zm007" "zf002&&zm007" 1 0 0 1 0 0 0
"7652" 9.824789102 "zf002" "zm009" "zf002&&zm009" 1 0 0 1 0 0 0
"7653" 9.183410876 "zf003" "zf003" "zf003" 0 1 0 1 0 0 0
"7654" 10.18790677 "zf003" "zf040" "zf003&&zf040" 1 0 0 1 0 0 0
"7655" 10.21009712 "zf003" "zm006" "zf003&&zm006" 1 0 0 1 0 0 0
"7656" 9.664523764 "zf003" "zm009" "zf003&&zm009" 1 0 0 1 0 0 0
"7657" 9.752555157 "zf003" "zm010" "zf003&&zm010" 1 0 0 1 0 0 0
"7658" 9.760342831 "zf003" "zm013" "zf003&&zm013" 1 0 0 1 0 0 0
"7659" 9.72949124 "zf003" "zm015" "zf003&&zm015" 1 0 0 1 0 0 0
"7660" 10.01840472 "zf003" "zm017" "zf003&&zm017" 1 0 0 1 0 0 0
"7661" 9.829876008 "zf003" "zm018" "zf003&&zm018" 1 0 0 1 0 0 0
"7662" 9.937418902 "zf003" "zm021" "zf003&&zm021" 1 0 0 1 0 0 0
"7663" 9.969355999 "zf003" "zm023" "zf003&&zm023" 1 0 0 1 0 0 0
